year,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
2016,Mukilteo,"21,416",24,3,3,4,14,441,85,320,36,1
2016,Napavine,"1,794",0,0,0,0,0,13,2,9,2,0
2016,Newcastle,"11,576",5,0,2,2,1,264,62,165,37,0
2016,Normandy Park,"6,733",3,0,1,1,1,172,25,134,13,0
2016,North Bend,"6,863",6,0,1,1,4,149,10,123,16,1
2016,Oak Harbor,"22,795",49,0,16,3,30,322,64,228,30,1
2016,Oakville,659,3,0,0,0,3,19,7,11,1,0
2016,Ocean Shores,"5,721",11,0,2,0,9,118,40,75,3,1
2016,Odessa,864,3,0,0,0,3,10,1,8,1,0
2016,Olympia,"50,972",200,0,21,47,132,"2,491",378,"1,889",224,7
2016,Omak,"4,854",26,0,5,8,13,190,44,128,18,2
2016,Oroville,"1,674",3,0,1,1,1,66,16,50,0,0
2016,Orting,"7,594",12,0,1,2,9,152,26,110,16,1
2016,Othello,"7,893",17,0,3,5,9,244,40,163,41,1
2016,Pacific,"7,228",7,0,2,2,3,146,22,90,34,0
2016,Pasco,"71,077",148,2,26,34,86,"1,651",304,"1,148",199,17
2016,Port Angeles,"19,525",111,1,26,5,79,982,209,716,57,4
2016,Port Orchard,"13,897",59,0,7,13,39,790,131,609,50,0
2016,Port Townsend,"9,378",24,1,3,1,19,306,70,230,6,1
2016,Poulsbo,"10,199",19,0,5,3,11,294,37,242,15,2
2016,Prosser,"5,895",15,0,1,0,14,108,24,79,5,2
2016,Pullman,"33,456",50,0,15,7,28,672,265,388,19,1
2016,Puyallup,"40,167",135,2,18,58,57,"2,773",386,"2,060",327,23
2016,Quincy,"7,482",21,0,2,5,14,293,102,142,49,0
2016,Raymond,"2,804",3,0,3,0,0,27,6,19,2,0
2016,Reardan,551,0,0,0,0,0,2,1,0,1,0
2016,Redmond,"61,893",83,0,15,23,45,"1,936",181,"1,676",79,3
2016,Renton,"101,908",341,4,36,146,155,"5,767",834,"3,872","1,061",27
2016,Richland,"55,475",101,1,20,11,69,"1,344",174,"1,092",78,6
2016,Ridgefield,"6,852",6,0,1,0,5,84,21,57,6,5
2016,Ritzville,"1,663",0,0,0,0,0,103,21,77,5,0
2016,Roy,809,4,0,1,0,3,19,5,13,1,0
2016,Royal City,"2,234",1,0,1,0,0,30,6,15,9,0
2016,Ruston,808,0,0,0,0,0,40,7,30,3,0
2016,Sammamish,"53,387",19,0,9,2,8,443,84,327,32,1
2016,SeaTac,"28,466",151,2,20,69,60,"1,598",280,866,452,9
2016,Seattle,"700,313","4,294",19,254,"1,547","2,474","38,433","7,666","26,639","4,128",101
2016,Sedro Woolley,"10,860",8,0,1,2,5,402,60,312,30,0
2016,Selah,"7,753",0,0,0,0,0,71,5,58,8,0
2016,Sequim,"6,868",17,1,5,2,9,261,32,220,9,0
2016,Shelton,"9,830",27,0,7,5,15,598,76,454,68,1
2016,Shoreline,"55,905",92,1,25,26,40,"1,374",323,861,190,9
2016,Snohomish,"9,773",21,0,0,4,17,314,52,225,37,2
2016,Snoqualmie,"13,713",3,0,1,0,2,234,24,191,19,1
2016,Soap Lake,"1,586",5,0,1,1,3,72,36,27,9,0
2016,South Bend,"1,609",4,0,1,0,3,6,3,3,0,0
2016,Spokane3,"214,028","1,279",8,185,306,780,"16,455","2,648","11,815","1,992",36
2016,Spokane Valley3,"95,923",271,5,55,67,144,"5,292",912,"3,909",471,12
2016,Stanwood,"6,888",7,0,3,2,2,237,33,194,10,1
2016,Steilacoom,"6,257",12,0,6,1,5,69,18,45,6,0
2016,Sultan,"4,826",22,0,3,1,18,75,24,46,5,0
2016,Sumas,"1,386",0,0,0,0,0,13,2,11,0,0
2016,Sumner,"9,753",22,1,1,4,16,578,82,392,104,2
2016,Sunnyside,"16,387",22,1,1,6,14,442,63,321,58,1
2016,Tacoma,"209,914","2,000",13,159,540,"1,288","13,749","2,420","8,710","2,619",78
2016,Tenino,"1,761",5,0,3,0,2,53,20,30,3,0
2016,Tieton,"1,264",0,0,0,0,0,18,3,12,3,0
2016,Toledo,727,0,0,0,0,0,10,0,10,0,0
2016,Tonasket,"1,012",4,0,0,0,4,29,11,17,1,0
2016,Toppenish,"8,997",34,0,5,12,17,486,97,307,82,1
2016,Tukwila,"20,195",168,2,27,83,56,"3,128",203,"2,391",534,3
2016,Tumwater,"19,569",78,0,12,7,59,843,169,585,89,1
2016,Twisp,946,0,0,0,0,0,16,3,13,0,0
2016,Union Gap,"6,031",22,1,3,12,6,717,45,635,37,0
2016,University Place,"33,196",73,1,13,19,40,847,175,564,108,5
2016,Vancouver,"174,912",675,0,117,148,410,"5,533",860,"3,666","1,007",50
2016,Walla Walla,"32,326",122,2,23,17,80,"1,372",233,"1,041",98,17
2016,Wapato,"5,067",12,0,1,4,7,182,30,94,58,0
2016,Warden,"2,743",2,0,1,1,0,37,4,28,5,0
2016,Washougal,"15,527",29,0,6,1,22,199,38,141,20,1
2016,Wenatchee,"33,920",88,0,21,14,53,"1,128",166,900,62,6
2016,Westport,"2,011",2,0,1,0,1,116,23,88,5,3
2016,West Richland,"14,127",12,0,4,0,8,133,30,100,3,0
2016,White Salmon,"2,364",2,0,1,0,1,24,3,18,3,0
2016,Winlock,"1,317",3,0,2,1,0,30,3,25,2,0
2016,Winthrop,425,1,0,0,0,1,7,1,6,0,0
2016,Woodinville,"11,953",17,0,3,8,6,371,78,257,36,4
2016,Woodland,"5,902",19,1,4,0,14,245,25,204,16,1
2016,Woodway,"1,375",0,0,0,0,0,12,4,8,0,0
2016,Yakima,"94,111",496,13,47,126,310,"4,943","1,143","3,163",637,29
2016,Yarrow Point,"1,097",0,0,0,0,0,11,1,7,3,0
2016,Yelm,"8,780",20,0,0,3,17,544,43,475,26,0
2016,Zillah,"3,157",3,0,2,1,0,49,8,40,1,0
